Filename,DOI,Relevance_Score,Species,Gene,Mod_Type,Phenotype,Quant_Data,Promoter,Terminator,Application_Category
9087934.pdf,10.1186/s12870-022-03584-y,0.9,wheat,NPR1,Differential Expression,Resistance to Rhizoctonia cerealis,Downregulated in susceptible material at 36h and 72h post-inoculation; Upregulated in resistant material at 36h post-inoculation,,,Disease resistance
9087934.pdf,10.1186/s12870-022-03584-y,0.9,wheat,TGA,Differential Expression,Resistance to Rhizoctonia cerealis,Significantly changed at 36h and 72h post-inoculation in susceptible material; Normal expression at both time points in resistant material,,,Disease resistance
9087934.pdf,10.1186/s12870-022-03584-y,0.9,wheat,NAC Transcription Factors,Differential Expression,Resistance to Rhizoctonia cerealis,6 upregulated in resistant material; 2 downregulated in susceptible material at two time points,,,Disease resistance
9087934.pdf,10.1186/s12870-022-03584-y,0.9,wheat,WRKY Transcription Factors,Differential Expression,Resistance to Rhizoctonia cerealis,2 continuously downregulated in resistant material; 1 upregulated and then downregulated in resistant material,,,Disease resistance
4177055.pdf,10.1186/s12870-014-0248-9,0.9,medicago sativa,MsSN1,Overexpression,Increased antimicrobial activity against fungal pathogens without altering nitrogen-fixing symbiosis.,Zone of inhibition = 1.76 ± 0.06 mm; Percentage of diseased leaflets = 30% (transgenic) vs 60% (wild type),,,"Disease resistance, Plant Transformation, Above-ground biomass property"
6163212.pdf,10.3390/ijms19092827,0.9,oryza sativa,PP2C9,Overexpression,Increased nitrogen utilization efficiency (NUE),Leaf N content increased by 15%; Grain yield increased by 35%,,,"Nitrogen Utilization, Above-ground biomass yield"
6331856.pdf,10.3390/molecules201119737,0.9,carapa guianensis,,,,,,,
8787272.pdf,10.3389/fpls.2021.769907,0.9,citrus sinensis,CsLOB1,CRISPR/Cas9,Resistance to citrus canker,Mutation rate: 78.6%; Null mutation rate: 100%,,,"Disease resistance, Genome editing"
10706117.pdf,10.3390/ijms242316775,0.9,capsicum annuum,CaMLO2,CRISPR/Cas9,Disease resistance,Indel frequency 6.3%; Indel frequency 0.0%,,,"Disease resistance, Genome editing"
6722425.pdf,10.3389/fnut.2019.00133,0.9,solanum lycopersicum,Aft/atv/hp2,Natural Mutation,Anthocyanin accumulation in fruit peel,Anthocyanin content in peel: 1.2 mg/g dry weight; Chlorogenic acid: 0.6 mg/g dry weight; Rutin: 0.8 mg/g dry weight,,,"Above-ground biomass property, Nutraceuticals"
